sim,fy,region,country,type,clients
1,FY23,Latin America,Peru,health_m,10821.99868248645
1,FY23,Latin America,Peru,health_total,34867.521762640026
1,FY23,Latin America,Peru,power_f,0
1,FY23,Latin America,Peru,power_m,0
1,FY23,Latin America,Peru,power_total,0
1,FY23,Latin America,Peru,safety_f,10637.697733583536
1,FY23,Latin America,Peru,safety_m,1704.8384629842258
1,FY23,Latin America,Peru,safety_total,12342.536196567762
1,FY23,Latin America,Peru,wb_f,24.968539333750485
1,FY23,Latin America,Peru,wb_m,529.7961291718902
1,FY23,Latin America,Peru,wb_total,554.7646685056408
1,FY23,Latin America,Peru,clients_f,30746.33899694558
1,FY23,Latin America,Peru,clients_m,12119.185755094555
1,FY23,Latin America,Peru,clients_total,42865.52475204014
1,FY23,Latin America,Venezuela,edu_f,274.8173516725532
1,FY23,Latin America,Venezuela,edu_m,213.149651589064
1,FY23,Latin America,Venezuela,edu_total,487.9670032616171
1,FY23,Latin America,Venezuela,health_f,21207.278504658865
1,FY23,Latin America,Venezuela,health_m,3681.44751199357
1,FY23,Latin America,Venezuela,health_total,24888.726016652436
1,FY23,Latin America,Venezuela,power_f,0
1,FY23,Latin America,Venezuela,power_m,0
1,FY23,Latin America,Venezuela,power_total,0
1,FY23,Latin America,Venezuela,safety_f,12196.309085104687
1,FY23,Latin America,Venezuela,safety_m,2490.437542726764
1,FY23,Latin America,Venezuela,safety_total,14686.746627831451
1,FY23,Latin America,Venezuela,wb_f,38.35542214701708
1,FY23,Latin America,Venezuela,wb_m,14.61701196573462
1,FY23,Latin America,Venezuela,wb_total,52.9724341127517
1,FY23,Latin America,Venezuela,clients_f,26659.980776510685
1,FY23,Latin America,Venezuela,clients_m,4897.277253790449
1,FY23,Latin America,Venezuela,clients_total,31557.258030301135
1,FY24,Latin America,Colombia,edu_f,2511.104859452333
1,FY24,Latin America,Colombia,edu_m,2420.14344510924
1,FY24,Latin America,Colombia,edu_total,4931.248304561574
1,FY24,Latin America,Colombia,health_f,0
1,FY24,Latin America,Colombia,health_m,0
1,FY24,Latin America,Colombia,health_total,0
1,FY24,Latin America,Colombia,power_f,55.70896644857852
1,FY24,Latin America,Colombia,power_m,45.09498551377954
1,FY24,Latin America,Colombia,power_total,100.80395196235808
1,FY24,Latin America,Colombia,safety_f,4999.32055048071
1,FY24,Latin America,Colombia,safety_m,3824.008343120645
1,FY24,Latin America,Colombia,safety_total,8823.328893601356
1,FY24,Latin America,Colombia,wb_f,7177.951469013904
1,FY24,Latin America,Colombia,wb_m,2127.183957117041
1,FY24,Latin America,Colombia,wb_total,9305.135426130944
1,FY24,Latin America,Colombia,clients_f,10761.207313346107
1,FY24,Latin America,Colombia,clients_m,5200.542087222674
1,FY24,Latin America,Colombia,clients_total,15961.749400568784
1,FY24,Latin America,Ecuador,edu_f,1599.8389325173637
1,FY24,Latin America,Ecuador,edu_m,838.064690803336
1,FY24,Latin America,Ecuador,edu_total,2437.9036233207
1,FY24,Latin America,Ecuador,health_f,14299.199023628113
