region,country,gender,sector,FY19,FY20,FY21,FY22,FY23,FY24
Latin America,Peru,male,Sexual & Reproductive Health,NA,NA,NA,45,0,0
Latin America,Peru,total,Total Health Clients,NA,NA,NA,8691,35233,28307
Latin America,Peru,female,Total Health Clients,NA,NA,NA,6023,24980,19507
Latin America,Peru,male,Total Health Clients,NA,NA,NA,2668,10253,8800
Latin America,Peru,total,Women's Protection & Empowerment,NA,NA,NA,629,11720,9582
Latin America,Peru,female,Women's Protection & Empowerment,NA,NA,NA,594,9877,7811
Latin America,Peru,male,Women's Protection & Empowerment,NA,NA,NA,35,1843,1771
Latin America,Ecuador,total,Child Protection,NA,NA,NA,NA,45,NA
Latin America,Ecuador,female,Child Protection,NA,NA,NA,NA,15,NA
Latin America,Ecuador,male,Child Protection,NA,NA,NA,NA,30,NA
Latin America,Ecuador,total,Sexual & Reproductive Health,NA,NA,NA,NA,909,362
Latin America,Ecuador,female,Sexual & Reproductive Health,NA,NA,NA,NA,909,362
Latin America,Ecuador,male,Sexual & Reproductive Health,NA,NA,NA,NA,0,0
Latin America,El Salvador,total,Child Protection,NA,NA,NA,NA,1760,1586
Latin America,El Salvador,female,Child Protection,NA,NA,NA,NA,985,807
Latin America,El Salvador,male,Child Protection,NA,NA,NA,NA,775,779
Latin America,El Salvador,total,Education,NA,NA,NA,NA,694,NA
Latin America,El Salvador,female,Education,NA,NA,NA,NA,580,NA
Latin America,El Salvador,male,Education,NA,NA,NA,NA,115,NA
Latin America,Guatemala,total,Child Protection,NA,NA,NA,NA,2624,1398
Latin America,Guatemala,female,Child Protection,NA,NA,NA,NA,1360,674
Latin America,Guatemala,male,Child Protection,NA,NA,NA,NA,1264,724
Latin America,Guatemala,total,Education,NA,NA,NA,NA,141,856
Latin America,Guatemala,female,Education,NA,NA,NA,NA,124,390
Latin America,Guatemala,male,Education,NA,NA,NA,NA,17,466
Latin America,Honduras,total,Child Protection,NA,NA,NA,NA,1411,1729
Latin America,Honduras,female,Child Protection,NA,NA,NA,NA,795,931
Latin America,Honduras,male,Child Protection,NA,NA,NA,NA,616,798
Latin America,Honduras,total,Education,NA,NA,NA,NA,450,169
Latin America,Honduras,female,Education,NA,NA,NA,NA,417,87
Latin America,Honduras,male,Education,NA,NA,NA,NA,34,82
Latin America,Mexico,total,Child Protection,NA,NA,NA,NA,282,264
Latin America,Mexico,female,Child Protection,NA,NA,NA,NA,180,142
Latin America,Mexico,male,Child Protection,NA,NA,NA,NA,102,122
Latin America,Peru,total,Child Protection,NA,NA,NA,NA,578,2505
Latin America,Peru,female,Child Protection,NA,NA,NA,NA,317,1330
Latin America,Peru,male,Child Protection,NA,NA,NA,NA,261,1175
Latin America,Peru,total,Education,NA,NA,NA,NA,266,NA
Latin America,Peru,female,Education,NA,NA,NA,NA,222,NA
Latin America,Peru,male,Education,NA,NA,NA,NA,44,NA
Latin America,Colombia,total,Governance,NA,NA,NA,NA,NA,44
Latin America,Colombia,female,Governance,NA,NA,NA,NA,NA,36
Latin America,Colombia,male,Governance,NA,NA,NA,NA,NA,8
Latin America,Colombia,total,Environmental Health,NA,NA,NA,NA,NA,352
Latin America,Colombia,female,Environmental Health,NA,NA,NA,NA,NA,64
Latin America,Colombia,male,Environmental Health,NA,NA,NA,NA,NA,288
Latin America,Mexico,total,Governance,NA,NA,NA,NA,NA,4
Latin America,Mexico,female,Governance,NA,NA,NA,NA,NA,4
Latin America,Mexico,male,Governance,NA,NA,NA,NA,NA,0
Latin America,Venezuela,total,Governance,NA,NA,NA,NA,NA,42
Latin America,Venezuela,female,Governance,NA,NA,NA,NA,NA,27
Latin America,Venezuela,male,Governance,NA,NA,NA,NA,NA,15
